session_id,unique_events,unique_from_states,unique_to_states,unique_sources,n_events
20260916_073717_378_BT_GPS_TO_VPS_NORMAL_DEV_3686,"destination_arrived, indoor_state, indoor_step_checkpoint, reliability_state, transition_step_checkpoint, trial_finished, trial_started, vps_state","EnteringWithPdr, OutdoorGps, VpsScanning","Arrived, EnteringWithPdr, IndoorLocalized, IndoorVps, Navigating, Scanning, StartingVps, VpsScanning","Gps, Pdr, Vps",24
20260916_074434_515_V1_GPS_TO_VPS_NORMAL_DEV_3432,"destination_arrived, indoor_state, indoor_step_checkpoint, reliability_state, transition_step_checkpoint, trial_finished, trial_started, vps_state","EnteringWithPdr, OutdoorGps, VpsScanning","Arrived, EnteringWithPdr, IndoorLocalized, IndoorVps, Navigating, Scanning, StartingVps, VpsScanning","Gps, Pdr, Vps",33
20260916_073000_241_BQ_GPS_TO_VPS_NORMAL_DEV_4605,"destination_arrived, indoor_state, reliability_state, transition_step_checkpoint, trial_finished, trial_started, vps_state","EnteringWithPdr, OutdoorGps, VpsScanning","Arrived, EnteringWithPdr, IndoorLocalized, IndoorVps, Navigating, Scanning, StartingVps, VpsScanning","Gps, Pdr, Vps",21
20260916_075908_789_V3_GPS_TO_VPS_NORMAL_DEV_4565,"destination_arrived, indoor_state, indoor_step_checkpoint, reliability_state, transition_step_checkpoint, trial_finished, trial_started, vps_state","EnteringWithPdr, OutdoorGps, VpsScanning","Arrived, EnteringWithPdr, IndoorLocalized, IndoorVps, Navigating, Scanning, StartingVps, VpsScanning","Gps, Pdr, Vps",18
20260916_081342_063_V5_GPS_TO_VPS_NORMAL_DEV_8420,"destination_arrived, indoor_state, indoor_step_checkpoint, reliability_state, transition_step_checkpoint, trial_finished, trial_started, vps_state","EnteringWithPdr, OutdoorGps, VpsScanning","Arrived, EnteringWithPdr, IndoorLocalized, IndoorVps, Navigating, Scanning, StartingVps, VpsScanning","Gps, Pdr, Vps",13
20260918_074434_515_V1_GPS_TO_VPS_NORMAL_DEV_3545,"destination_arrived, dwell_passed, dwell_reset, dwell_started, indoor_state, indoor_step_checkpoint, quality_threshold_failed, quality_threshold_passed, reliability_state, transition_step_checkpoint, trial_finished, trial_started, vps_state","EnteringWithPdr, OutdoorGps, VpsScanning","Arrived, EnteringWithPdr, IndoorLocalized, IndoorVps, Navigating, Scanning, StartingVps, VpsScanning","Gps, Pdr, Vps",41
20260918_073000_241_BQ_GPS_TO_VPS_NORMAL_DEV_8168,"destination_arrived, dwell_passed, dwell_reset, dwell_started, indoor_state, quality_threshold_failed, quality_threshold_passed, reliability_state, transition_step_checkpoint, trial_finished, trial_started, vps_state","EnteringWithPdr, OutdoorGps, VpsScanning","Arrived, EnteringWithPdr, IndoorLocalized, IndoorVps, Navigating, Scanning, StartingVps, VpsScanning","Gps, Pdr, Vps",29
20260918_081342_063_V5_GPS_TO_VPS_NORMAL_DEV_3045,"destination_arrived, dwell_passed, dwell_reset, dwell_started, indoor_state, indoor_step_checkpoint, quality_threshold_failed, quality_threshold_passed, reliability_state, transition_step_checkpoint, trial_finished, trial_started, vps_state","EnteringWithPdr, OutdoorGps, VpsScanning","Arrived, EnteringWithPdr, IndoorLocalized, IndoorVps, Navigating, Scanning, StartingVps, VpsScanning","Gps, Pdr, Vps",21
20260918_075908_789_V3_GPS_TO_VPS_NORMAL_DEV_3028,"destination_arrived, dwell_passed, dwell_reset, dwell_started, indoor_state, indoor_step_checkpoint, quality_threshold_failed, quality_threshold_passed, reliability_state, transition_step_checkpoint, trial_finished, trial_started, vps_state","EnteringWithPdr, OutdoorGps, VpsScanning","Arrived, EnteringWithPdr, IndoorLocalized, IndoorVps, Navigating, Scanning, StartingVps, VpsScanning","Gps, Pdr, Vps",26
20260918_075151_652_V2_GPS_TO_VPS_NORMAL_DEV_1612,"destination_arrived, dwell_passed, dwell_reset, dwell_started, indoor_state, quality_threshold_failed, quality_threshold_passed, reliability_state, transition_step_checkpoint, trial_finished, trial_started, vps_state","EnteringWithPdr, OutdoorGps, VpsScanning","Arrived, EnteringWithPdr, IndoorLocalized, IndoorVps, Navigating, Scanning, StartingVps, VpsScanning","Gps, Pdr, Vps",28
